Timestamp: 2024-10-07 21:25:31 Latitude: 48.906631, Longitude: 2.249909, Speed: 0.78 km/h
Timestamp: 2024-10-07 21:25:32 Latitude: 48.906631, Longitude: 2.249904, Speed: 0.57 km/h
Timestamp: 2024-10-07 21:25:33 Latitude: 48.906631, Longitude: 2.249907, Speed: 1.81 km/h
Timestamp: 2024-10-07 21:25:34 Latitude: 48.906627, Longitude: 2.249903, Speed: 1.61 km/h
Timestamp: 2024-10-07 21:25:35 Latitude: 48.906635, Longitude: 2.249898, Speed: 0.80 km/h
Timestamp: 2024-10-07 21:25:36 Latitude: 48.906627, Longitude: 2.249910, Speed: 0.31 km/h
Timestamp: 2024-10-07 21:25:37 Latitude: 48.906620, Longitude: 2.249898, Speed: 0.35 km/h
Timestamp: 2024-10-07 21:25:38 Latitude: 48.906620, Longitude: 2.249880, Speed: 2.69 km/h
Timestamp: 2024-10-07 21:25:39 Latitude: 48.906616, Longitude: 2.249882, Speed: 2.56 km/h
Timestamp: 2024-10-07 21:25:40 Latitude: 48.906616, Longitude: 2.249885, Speed: 2.00 km/h
Timestamp: 2024-10-07 21:25:42 Latitude: 48.906620, Longitude: 2.249896, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:25:43 Latitude: 48.906627, Longitude: 2.249903, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:25:44 Latitude: 48.906627, Longitude: 2.249906, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:25:45 Latitude: 48.906627, Longitude: 2.249910, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:25:46 Latitude: 48.906627, Longitude: 2.249914, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:25:47 Latitude: 48.906631, Longitude: 2.249920, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:25:48 Latitude: 48.906631, Longitude: 2.249925, Speed: 0.59 km/h
Timestamp: 2024-10-07 21:25:49 Latitude: 48.906631, Longitude: 2.249930, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:25:50 Latitude: 48.906635, Longitude: 2.249935, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:25:51 Latitude: 48.906635, Longitude: 2.249939, Speed: 0.31 km/h
Timestamp: 2024-10-07 21:25:52 Latitude: 48.906639, Longitude: 2.249944, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:25:53 Latitude: 48.906639, Longitude: 2.249947, Speed: 0.20 km/h
Timestamp: 2024-10-07 21:25:54 Latitude: 48.906642, Longitude: 2.249951, Speed: 0.26 km/h
Timestamp: 2024-10-07 21:25:55 Latitude: 48.906642, Longitude: 2.249955, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:25:56 Latitude: 48.906646, Longitude: 2.249958, Speed: 0.24 km/h
